chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.1525,0.3340
fisser_0005,ic_block_filter,0.5696,0.3751
fisser_0018,otsu_floor,,0.0017
fisser_0019,ic_block_filter,0.2813,0.2793
fisser_0027,ic_block_filter,0.1993,0.2927
fisser_0035,otsu_floor,,0.0913
fisser_0040,otsu_floor,,0.0009
fisser_0058,ic_block_filter,0.7646,0.3105
fisser_0076,ic_block_filter,0.7423,0.6777
fisser_0120,otsu_floor,,0.0016
fisser_0122,ic_block_filter,0.7094,0.1323
fisser_0151,ic_block_filter,0.6941,0.1623
fisser_0154,otsu_floor,,0.0010
fisser_0188,ic_block_filter,0.8310,0.2496
fisser_0198,ic_block_filter,0.5772,0.1582
fisser_0199,ic_block_filter,0.7300,0.4551
fisser_0208,ic_block_filter,0.4597,0.2251
fisser_0214,ic_block_filter,0.4257,0.3506
fisser_0246,ic_block_filter,0.9872,0.3223
fisser_0260,ic_block_filter,0.2893,0.3574
fisser_0301,ic_block_filter,0.5987,0.3379
fisser_0319,ic_block_filter,0.7769,0.1103
fisser_0320,ic_block_filter,0.8433,0.5020
fisser_0348,ic_block_filter,0.7388,0.1105
fisser_0354,otsu_floor,,0.0013
fisser_0357,otsu_floor,,0.0009
fisser_0386,ic_block_filter,0.7467,0.1414
