chip_stem,reason,ic_frac
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4096_c4096,ic_block_filter,0.2996
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5632_c4608,ic_block_filter,0.5343
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r2304_c2048,ic_block_filter,0.4756
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r5632_c5376,ic_block_filter,0.3451
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r5632_c5632,ic_block_filter,0.3109
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r5888_c4608,ic_block_filter,0.2939
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r8448_c5120,ic_block_filter,0.1779
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c5376,ic_block_filter,0.2034
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4096,ic_block_filter,0.6682
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWU_20240715T155321_r6656_c5376,ic_block_filter,0.4791
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5632_c4352,ic_block_filter,0.2225
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5888_c5632,ic_block_filter,0.4199
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5888_c6400,ic_block_filter,0.2107
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r3840_c3584,ic_block_filter,0.3233
S2B_MSIL1C_20191113T143349_N0500_R139_T24WVT_20221220T092944_r2560_c10240,ic_block_filter,0.3140
S2B_MSIL1C_20191113T143349_N0500_R139_T24WWT_20230703T070851_r3072_c0512,ic_block_filter,0.2772
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8448_c3584,ic_block_filter,0.9996
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0768_c3328,ic_block_filter,0.1874
