tau,tp,fp,fn,tn,precision,recall,f1,iou
0.0500,453818,1345163,15394,7164057,0.252264,0.967192,0.400158,0.250124
0.1000,450768,1249829,18444,7259391,0.265065,0.960692,0.415491,0.262221
0.1500,448601,1197116,20611,7312104,0.272587,0.956073,0.424223,0.269215
0.2000,446729,1159519,22483,7349701,0.278120,0.952083,0.430487,0.274280
0.2500,445070,1129313,24142,7379907,0.282695,0.948548,0.435576,0.278425
0.3000,443330,1103490,25882,7405730,0.286607,0.944839,0.439805,0.281891
0.3500,441591,1080277,27621,7428943,0.290164,0.941133,0.443569,0.284991
0.4000,439800,1058795,29412,7450425,0.293475,0.937316,0.446995,0.287826
0.4500,437804,1038080,31408,7471140,0.296638,0.933062,0.450162,0.290457
0.5000,435692,1017822,33520,7491398,0.299751,0.928561,0.453202,0.292994
0.5500,433395,997617,35817,7511603,0.302859,0.923666,0.456151,0.295464
0.6000,430793,977209,38419,7532011,0.305961,0.918120,0.458971,0.297834
0.6500,427853,955546,41359,7553674,0.309277,0.911854,0.461892,0.300299
0.7000,424249,931700,44963,7577520,0.312880,0.904173,0.464889,0.302838
0.7500,419783,904501,49429,7604719,0.316989,0.894655,0.468117,0.305583
0.8000,413995,871907,55217,7637313,0.321949,0.882320,0.471759,0.308694
0.8500,405563,829526,63649,7679694,0.328367,0.864349,0.475929,0.312275
0.9000,391433,766968,77779,7742252,0.337908,0.834235,0.480990,0.316647
0.9500,360239,654178,108973,7855042,0.355119,0.767753,0.485619,0.320671
