REGION,minx,maxx,miny,maxy
DB-N,1290939.375,1340499.5,-175045.734375,-121646.0234375
DB-S,1153409.625,1323575.75,-289208.78125,-121645.8359375
II,1263373.125,1335642.5,-263098.84375,-206357.296875
KQ-DF,2016511.125,2086508.25,-482282.75,-413068.40625
KQ-OC,1999700.375,2113543.0,-526357.6875,-461522.40625
KQ-UF,2001376.5,2026810.625,-418552.78125,-396999.5625
NK-DF,1048867.375,1151728.375,-771632.9375,-692314.1875
NK-UF,1146113.625,1176418.75,-780592.0,-710706.875
SK-DF,1741012.625,1808918.375,-738133.875,-650113.0
SK-OC,1703474.125,1825502.375,-834169.875,-722810.8125
SK-UF,1758793.125,1787217.125,-663570.0625,-643240.875
SQ,1097829.125,1290940.0,-149657.75,50334.19921875
UQ-DF,1131927.875,1308485.125,-47429.85546875,76807.4609375
UQ-UF,1279581.0,1351653.25,-101386.8203125,12333.1298828125
